center,left,right,steering,throttle,brake,speed
IMG\center_2019_02_03_01_03_07_993.jpg,IMG\left_2019_02_03_01_03_07_993.jpg,IMG\right_2019_02_03_01_03_07_993.jpg,0.0,1.0,0.0,9.220824
IMG\center_2019_02_03_01_03_08_107.jpg,IMG\left_2019_02_03_01_03_08_107.jpg,IMG\right_2019_02_03_01_03_08_107.jpg,-0.1496118,1.0,0.0,10.33132
IMG\center_2019_02_03_01_03_08_225.jpg,IMG\left_2019_02_03_01_03_08_225.jpg,IMG\right_2019_02_03_01_03_08_225.jpg,-0.2905555,1.0,0.0,11.70016
IMG\center_2019_02_03_01_03_08_345.jpg,IMG\left_2019_02_03_01_03_08_345.jpg,IMG\right_2019_02_03_01_03_08_345.jpg,0.0,1.0,0.0,12.9036
IMG\center_2019_02_03_01_03_08_455.jpg,IMG\left_2019_02_03_01_03_08_455.jpg,IMG\right_2019_02_03_01_03_08_455.jpg,-0.2251264,1.0,0.0,14.20655
IMG\center_2019_02_03_01_03_08_569.jpg,IMG\left_2019_02_03_01_03_08_569.jpg,IMG\right_2019_02_03_01_03_08_569.jpg,-0.5684792,1.0,0.0,15.36891
IMG\center_2019_02_03_01_03_08_688.jpg,IMG\left_2019_02_03_01_03_08_688.jpg,IMG\right_2019_02_03_01_03_08_688.jpg,-0.9234589,1.0,0.0,16.35632
IMG\center_2019_02_03_01_03_08_810.jpg,IMG\left_2019_02_03_01_03_08_810.jpg,IMG\right_2019_02_03_01_03_08_810.jpg,-0.719622,1.0,0.0,17.489179999999998
IMG\center_2019_02_03_01_03_08_926.jpg,IMG\left_2019_02_03_01_03_08_926.jpg,IMG\right_2019_02_03_01_03_08_926.jpg,-0.3729846,1.0,0.0,18.45541
IMG\center_2019_02_03_01_03_09_044.jpg,IMG\left_2019_02_03_01_03_09_044.jpg,IMG\right_2019_02_03_01_03_09_044.jpg,-0.02492011,1.0,0.0,19.70137
IMG\center_2019_02_03_01_03_09_158.jpg,IMG\left_2019_02_03_01_03_09_158.jpg,IMG\right_2019_02_03_01_03_09_158.jpg,0.0,1.0,0.0,20.88892
IMG\center_2019_02_03_01_03_09_277.jpg,IMG\left_2019_02_03_01_03_09_277.jpg,IMG\right_2019_02_03_01_03_09_277.jpg,0.0,1.0,0.0,22.09872
IMG\center_2019_02_03_01_03_09_395.jpg,IMG\left_2019_02_03_01_03_09_395.jpg,IMG\right_2019_02_03_01_03_09_395.jpg,0.224223,0.8262311999999999,0.0,23.17339
IMG\center_2019_02_03_01_03_09_505.jpg,IMG\left_2019_02_03_01_03_09_505.jpg,IMG\right_2019_02_03_01_03_09_505.jpg,0.05717893,0.4976788,0.0,23.71375
IMG\center_2019_02_03_01_03_09_618.jpg,IMG\left_2019_02_03_01_03_09_618.jpg,IMG\right_2019_02_03_01_03_09_618.jpg,0.0,0.15706370000000006,0.0,23.88352
IMG\center_2019_02_03_01_03_09_729.jpg,IMG\left_2019_02_03_01_03_09_729.jpg,IMG\right_2019_02_03_01_03_09_729.jpg,0.0,0.1127013,0.0,23.70193
IMG\center_2019_02_03_01_03_09_845.jpg,IMG\left_2019_02_03_01_03_09_845.jpg,IMG\right_2019_02_03_01_03_09_845.jpg,0.0,0.4600231,0.0,23.82487
IMG\center_2019_02_03_01_03_09_964.jpg,IMG\left_2019_02_03_01_03_09_964.jpg,IMG\right_2019_02_03_01_03_09_964.jpg,0.0,0.8169894,0.0,24.47467
IMG\center_2019_02_03_01_03_10_078.jpg,IMG\left_2019_02_03_01_03_10_078.jpg,IMG\right_2019_02_03_01_03_10_078.jpg,0.0,1.0,0.0,25.53847
IMG\center_2019_02_03_01_03_10_198.jpg,IMG\left_2019_02_03_01_03_10_198.jpg,IMG\right_2019_02_03_01_03_10_198.jpg,-0.2586507,1.0,0.0,26.63128
IMG\center_2019_02_03_01_03_10_316.jpg,IMG\left_2019_02_03_01_03_10_316.jpg,IMG\right_2019_02_03_01_03_10_316.jpg,-0.15908060000000002,1.0,0.0,27.68848
IMG\center_2019_02_03_01_03_10_435.jpg,IMG\left_2019_02_03_01_03_10_435.jpg,IMG\right_2019_02_03_01_03_10_435.jpg,0.0,1.0,0.0,28.79437
IMG\center_2019_02_03_01_03_10_545.jpg,IMG\left_2019_02_03_01_03_10_545.jpg,IMG\right_2019_02_03_01_03_10_545.jpg,0.0,1.0,0.0,29.71512
IMG\center_2019_02_03_01_03_10_662.jpg,IMG\left_2019_02_03_01_03_10_662.jpg,IMG\right_2019_02_03_01_03_10_662.jpg,0.0,1.0,0.0,30.19026
IMG\center_2019_02_03_01_03_10_780.jpg,IMG\left_2019_02_03_01_03_10_780.jpg,IMG\right_2019_02_03_01_03_10_780.jpg,-0.2492052,1.0,0.0,30.17153
IMG\center_2019_02_03_01_03_10_897.jpg,IMG\left_2019_02_03_01_03_10_897.jpg,IMG\right_2019_02_03_01_03_10_897.jpg,-0.1608451,1.0,0.0,30.19145
IMG\center_2019_02_03_01_03_11_005.jpg,IMG\left_2019_02_03_01_03_11_005.jpg,IMG\right_2019_02_03_01_03_11_005.jpg,0.0,0.7919008000000001,0.0,30.16185
IMG\center_2019_02_03_01_03_11_126.jpg,IMG\left_2019_02_03_01_03_11_126.jpg,IMG\right_2019_02_03_01_03_11_126.jpg,0.0,0.4275972,0.0,30.07299
IMG\center_2019_02_03_01_03_11_242.jpg,IMG\left_2019_02_03_01_03_11_242.jpg,IMG\right_2019_02_03_01_03_11_242.jpg,-0.1157108,0.08328071,0.0,29.92948
IMG\center_2019_02_03_01_03_11_355.jpg,IMG\left_2019_02_03_01_03_11_355.jpg,IMG\right_2019_02_03_01_03_11_355.jpg,-0.4559271,0.0,0.0,29.4458
IMG\center_2019_02_03_01_03_11_473.jpg,IMG\left_2019_02_03_01_03_11_473.jpg,IMG\right_2019_02_03_01_03_11_473.jpg,-0.09955959,0.0,0.0,29.06101
IMG\center_2019_02_03_01_03_11_589.jpg,IMG\left_2019_02_03_01_03_11_589.jpg,IMG\right_2019_02_03_01_03_11_589.jpg,-0.2104265,0.0,0.0,28.69895
IMG\center_2019_02_03_01_03_11_706.jpg,IMG\left_2019_02_03_01_03_11_706.jpg,IMG\right_2019_02_03_01_03_11_706.jpg,-0.5615175,0.0,0.0,28.27798
IMG\center_2019_02_03_01_03_11_809.jpg,IMG\left_2019_02_03_01_03_11_809.jpg,IMG\right_2019_02_03_01_03_11_809.jpg,-0.4124824,0.0,0.0,27.76095
IMG\center_2019_02_03_01_03_11_938.jpg,IMG\left_2019_02_03_01_03_11_938.jpg,IMG\right_2019_02_03_01_03_11_938.jpg,-0.02593642,0.0,0.0,27.43263
IMG\center_2019_02_03_01_03_12_052.jpg,IMG\left_2019_02_03_01_03_12_052.jpg,IMG\right_2019_02_03_01_03_12_052.jpg,0.0,0.0,0.0,27.08938
IMG\center_2019_02_03_01_03_12_170.jpg,IMG\left_2019_02_03_01_03_12_170.jpg,IMG\right_2019_02_03_01_03_12_170.jpg,0.0,0.1465567,0.0,26.8219
IMG\center_2019_02_03_01_03_12_283.jpg,IMG\left_2019_02_03_01_03_12_283.jpg,IMG\right_2019_02_03_01_03_12_283.jpg,0.0,0.4867783,0.0,26.93772
IMG\center_2019_02_03_01_03_12_397.jpg,IMG\left_2019_02_03_01_03_12_397.jpg,IMG\right_2019_02_03_01_03_12_397.jpg,0.0,0.8303870999999999,0.0,27.56878
IMG\center_2019_02_03_01_03_12_516.jpg,IMG\left_2019_02_03_01_03_12_516.jpg,IMG\right_2019_02_03_01_03_12_516.jpg,0.0,1.0,0.0,28.61146
IMG\center_2019_02_03_01_03_12_634.jpg,IMG\left_2019_02_03_01_03_12_634.jpg,IMG\right_2019_02_03_01_03_12_634.jpg,0.0,1.0,0.0,29.71041
IMG\center_2019_02_03_01_03_12_749.jpg,IMG\left_2019_02_03_01_03_12_749.jpg,IMG\right_2019_02_03_01_03_12_749.jpg,0.0,1.0,0.0,30.19022
IMG\center_2019_02_03_01_03_12_864.jpg,IMG\left_2019_02_03_01_03_12_864.jpg,IMG\right_2019_02_03_01_03_12_864.jpg,0.0,1.0,0.0,30.19086
IMG\center_2019_02_03_01_03_12_987.jpg,IMG\left_2019_02_03_01_03_12_987.jpg,IMG\right_2019_02_03_01_03_12_987.jpg,0.0,1.0,0.0,30.19023
IMG\center_2019_02_03_01_03_13_101.jpg,IMG\left_2019_02_03_01_03_13_101.jpg,IMG\right_2019_02_03_01_03_13_101.jpg,0.0,1.0,0.0,30.19023
IMG\center_2019_02_03_01_03_13_216.jpg,IMG\left_2019_02_03_01_03_13_216.jpg,IMG\right_2019_02_03_01_03_13_216.jpg,0.0,1.0,0.0,30.19023
IMG\center_2019_02_03_01_03_13_333.jpg,IMG\left_2019_02_03_01_03_13_333.jpg,IMG\right_2019_02_03_01_03_13_333.jpg,0.0,1.0,0.0,30.19025
IMG\center_2019_02_03_01_03_13_446.jpg,IMG\left_2019_02_03_01_03_13_446.jpg,IMG\right_2019_02_03_01_03_13_446.jpg,0.0,1.0,0.0,30.190340000000006
IMG\center_2019_02_03_01_03_13_555.jpg,IMG\left_2019_02_03_01_03_13_555.jpg,IMG\right_2019_02_03_01_03_13_555.jpg,0.0,1.0,0.0,30.19072
IMG\center_2019_02_03_01_03_13_679.jpg,IMG\left_2019_02_03_01_03_13_679.jpg,IMG\right_2019_02_03_01_03_13_679.jpg,0.0,1.0,0.0,30.18975
IMG\center_2019_02_03_01_03_13_805.jpg,IMG\left_2019_02_03_01_03_13_805.jpg,IMG\right_2019_02_03_01_03_13_805.jpg,-0.2186957,1.0,0.0,30.17769
IMG\center_2019_02_03_01_03_13_927.jpg,IMG\left_2019_02_03_01_03_13_927.jpg,IMG\right_2019_02_03_01_03_13_927.jpg,0.0,1.0,0.0,30.18978
IMG\center_2019_02_03_01_03_14_028.jpg,IMG\left_2019_02_03_01_03_14_028.jpg,IMG\right_2019_02_03_01_03_14_028.jpg,0.0,1.0,0.0,30.19036
IMG\center_2019_02_03_01_03_14_134.jpg,IMG\left_2019_02_03_01_03_14_134.jpg,IMG\right_2019_02_03_01_03_14_134.jpg,0.0,1.0,0.0,30.19105
IMG\center_2019_02_03_01_03_14_238.jpg,IMG\left_2019_02_03_01_03_14_238.jpg,IMG\right_2019_02_03_01_03_14_238.jpg,0.0,1.0,0.0,30.19018
IMG\center_2019_02_03_01_03_14_338.jpg,IMG\left_2019_02_03_01_03_14_338.jpg,IMG\right_2019_02_03_01_03_14_338.jpg,-0.271566,1.0,0.0,30.174570000000006
IMG\center_2019_02_03_01_03_14_444.jpg,IMG\left_2019_02_03_01_03_14_444.jpg,IMG\right_2019_02_03_01_03_14_444.jpg,-0.5983519,0.8486100000000001,0.0,30.08025
IMG\center_2019_02_03_01_03_14_548.jpg,IMG\left_2019_02_03_01_03_14_548.jpg,IMG\right_2019_02_03_01_03_14_548.jpg,-0.3111657,0.5148593,0.0,30.05851
IMG\center_2019_02_03_01_03_14_668.jpg,IMG\left_2019_02_03_01_03_14_668.jpg,IMG\right_2019_02_03_01_03_14_668.jpg,0.0,0.1525476,0.0,29.95989
IMG\center_2019_02_03_01_03_14_788.jpg,IMG\left_2019_02_03_01_03_14_788.jpg,IMG\right_2019_02_03_01_03_14_788.jpg,0.0,0.0,0.0,29.64756
IMG\center_2019_02_03_01_03_14_910.jpg,IMG\left_2019_02_03_01_03_14_910.jpg,IMG\right_2019_02_03_01_03_14_910.jpg,0.0,0.2335501,0.0,29.40968
IMG\center_2019_02_03_01_03_15_025.jpg,IMG\left_2019_02_03_01_03_15_025.jpg,IMG\right_2019_02_03_01_03_15_025.jpg,0.0,0.5799358,0.0,29.60407
IMG\center_2019_02_03_01_03_15_137.jpg,IMG\left_2019_02_03_01_03_15_137.jpg,IMG\right_2019_02_03_01_03_15_137.jpg,0.0,0.9143677,0.0,30.18021
IMG\center_2019_02_03_01_03_15_256.jpg,IMG\left_2019_02_03_01_03_15_256.jpg,IMG\right_2019_02_03_01_03_15_256.jpg,0.0,1.0,0.0,30.19042
IMG\center_2019_02_03_01_03_15_372.jpg,IMG\left_2019_02_03_01_03_15_372.jpg,IMG\right_2019_02_03_01_03_15_372.jpg,0.0,1.0,0.0,30.19011
IMG\center_2019_02_03_01_03_15_479.jpg,IMG\left_2019_02_03_01_03_15_479.jpg,IMG\right_2019_02_03_01_03_15_479.jpg,0.0,1.0,0.0,30.19035
IMG\center_2019_02_03_01_03_15_605.jpg,IMG\left_2019_02_03_01_03_15_605.jpg,IMG\right_2019_02_03_01_03_15_605.jpg,-0.10345039999999997,1.0,0.0,30.18793
IMG\center_2019_02_03_01_03_15_719.jpg,IMG\left_2019_02_03_01_03_15_719.jpg,IMG\right_2019_02_03_01_03_15_719.jpg,-0.4448272,1.0,0.0,30.14393
IMG\center_2019_02_03_01_03_15_839.jpg,IMG\left_2019_02_03_01_03_15_839.jpg,IMG\right_2019_02_03_01_03_15_839.jpg,-0.08381459,1.0,0.0,30.19016
IMG\center_2019_02_03_01_03_15_953.jpg,IMG\left_2019_02_03_01_03_15_953.jpg,IMG\right_2019_02_03_01_03_15_953.jpg,0.0,1.0,0.0,30.18998
IMG\center_2019_02_03_01_03_16_070.jpg,IMG\left_2019_02_03_01_03_16_070.jpg,IMG\right_2019_02_03_01_03_16_070.jpg,0.0,0.7771659000000001,0.0,30.12611
IMG\center_2019_02_03_01_03_16_186.jpg,IMG\left_2019_02_03_01_03_16_186.jpg,IMG\right_2019_02_03_01_03_16_186.jpg,0.0,0.430007,0.0,30.03346
IMG\center_2019_02_03_01_03_16_297.jpg,IMG\left_2019_02_03_01_03_16_297.jpg,IMG\right_2019_02_03_01_03_16_297.jpg,0.0,0.09476049,0.0,29.94451
IMG\center_2019_02_03_01_03_16_419.jpg,IMG\left_2019_02_03_01_03_16_419.jpg,IMG\right_2019_02_03_01_03_16_419.jpg,0.0,0.0,0.0,29.60448
IMG\center_2019_02_03_01_03_16_536.jpg,IMG\left_2019_02_03_01_03_16_536.jpg,IMG\right_2019_02_03_01_03_16_536.jpg,0.0,0.21903000000000006,0.0,29.3521
IMG\center_2019_02_03_01_03_16_647.jpg,IMG\left_2019_02_03_01_03_16_647.jpg,IMG\right_2019_02_03_01_03_16_647.jpg,0.0,0.5517313,0.0,29.55765
IMG\center_2019_02_03_01_03_16_767.jpg,IMG\left_2019_02_03_01_03_16_767.jpg,IMG\right_2019_02_03_01_03_16_767.jpg,-0.117871,0.9108238,0.0,30.17149
IMG\center_2019_02_03_01_03_16_881.jpg,IMG\left_2019_02_03_01_03_16_881.jpg,IMG\right_2019_02_03_01_03_16_881.jpg,-0.2246451,0.8841104,0.0,30.14729
IMG\center_2019_02_03_01_03_16_996.jpg,IMG\left_2019_02_03_01_03_16_996.jpg,IMG\right_2019_02_03_01_03_16_996.jpg,0.0,0.5346433,0.0,30.05817
IMG\center_2019_02_03_01_03_17_115.jpg,IMG\left_2019_02_03_01_03_17_115.jpg,IMG\right_2019_02_03_01_03_17_115.jpg,0.0,0.1802529,0.0,29.96961
IMG\center_2019_02_03_01_03_17_232.jpg,IMG\left_2019_02_03_01_03_17_232.jpg,IMG\right_2019_02_03_01_03_17_232.jpg,0.0,0.0,0.0,29.68898
IMG\center_2019_02_03_01_03_17_348.jpg,IMG\left_2019_02_03_01_03_17_348.jpg,IMG\right_2019_02_03_01_03_17_348.jpg,0.0,0.0,0.0,29.33218
IMG\center_2019_02_03_01_03_17_456.jpg,IMG\left_2019_02_03_01_03_17_456.jpg,IMG\right_2019_02_03_01_03_17_456.jpg,0.0,0.0,0.0,29.0382
IMG\center_2019_02_03_01_03_17_574.jpg,IMG\left_2019_02_03_01_03_17_574.jpg,IMG\right_2019_02_03_01_03_17_574.jpg,0.0,0.0,0.0,28.68867
IMG\center_2019_02_03_01_03_17_692.jpg,IMG\left_2019_02_03_01_03_17_692.jpg,IMG\right_2019_02_03_01_03_17_692.jpg,0.0,0.0,0.0,28.343840000000004
IMG\center_2019_02_03_01_03_17_807.jpg,IMG\left_2019_02_03_01_03_17_807.jpg,IMG\right_2019_02_03_01_03_17_807.jpg,0.0,0.2344746,0.0,28.11648
IMG\center_2019_02_03_01_03_17_919.jpg,IMG\left_2019_02_03_01_03_17_919.jpg,IMG\right_2019_02_03_01_03_17_919.jpg,-0.16319879999999998,0.5712941,0.0,28.35741
IMG\center_2019_02_03_01_03_18_036.jpg,IMG\left_2019_02_03_01_03_18_036.jpg,IMG\right_2019_02_03_01_03_18_036.jpg,-0.2850727,0.21913890000000005,0.0,28.47724
IMG\center_2019_02_03_01_03_18_154.jpg,IMG\left_2019_02_03_01_03_18_154.jpg,IMG\right_2019_02_03_01_03_18_154.jpg,0.0,0.0,0.0,28.24113
IMG\center_2019_02_03_01_03_18_270.jpg,IMG\left_2019_02_03_01_03_18_270.jpg,IMG\right_2019_02_03_01_03_18_270.jpg,0.0,0.0,0.0,27.89808
IMG\center_2019_02_03_01_03_18_386.jpg,IMG\left_2019_02_03_01_03_18_386.jpg,IMG\right_2019_02_03_01_03_18_386.jpg,0.0,0.0,0.0,27.61761
IMG\center_2019_02_03_01_03_18_504.jpg,IMG\left_2019_02_03_01_03_18_504.jpg,IMG\right_2019_02_03_01_03_18_504.jpg,0.0,0.3534976,0.0,27.52838
IMG\center_2019_02_03_01_03_18_620.jpg,IMG\left_2019_02_03_01_03_18_620.jpg,IMG\right_2019_02_03_01_03_18_620.jpg,0.0,0.7003031999999999,0.0,27.95452
IMG\center_2019_02_03_01_03_18_736.jpg,IMG\left_2019_02_03_01_03_18_736.jpg,IMG\right_2019_02_03_01_03_18_736.jpg,-0.25137800000000005,1.0,0.0,28.81721
IMG\center_2019_02_03_01_03_18_853.jpg,IMG\left_2019_02_03_01_03_18_853.jpg,IMG\right_2019_02_03_01_03_18_853.jpg,0.0,1.0,0.0,29.9064
IMG\center_2019_02_03_01_03_18_965.jpg,IMG\left_2019_02_03_01_03_18_965.jpg,IMG\right_2019_02_03_01_03_18_965.jpg,0.0,0.8304923000000001,0.0,30.1352
IMG\center_2019_02_03_01_03_19_081.jpg,IMG\left_2019_02_03_01_03_19_081.jpg,IMG\right_2019_02_03_01_03_19_081.jpg,0.0,0.7080207,0.0,30.12332
IMG\center_2019_02_03_01_03_19_198.jpg,IMG\left_2019_02_03_01_03_19_198.jpg,IMG\right_2019_02_03_01_03_19_198.jpg,0.0,1.0,0.0,30.19674
IMG\center_2019_02_03_01_03_19_308.jpg,IMG\left_2019_02_03_01_03_19_308.jpg,IMG\right_2019_02_03_01_03_19_308.jpg,-0.190978,1.0,0.0,30.17932
IMG\center_2019_02_03_01_03_19_435.jpg,IMG\left_2019_02_03_01_03_19_435.jpg,IMG\right_2019_02_03_01_03_19_435.jpg,-0.1303451,0.8850561,0.0,30.1544
IMG\center_2019_02_03_01_03_19_551.jpg,IMG\left_2019_02_03_01_03_19_551.jpg,IMG\right_2019_02_03_01_03_19_551.jpg,0.0,0.5386767,0.0,30.06152
IMG\center_2019_02_03_01_03_19_664.jpg,IMG\left_2019_02_03_01_03_19_664.jpg,IMG\right_2019_02_03_01_03_19_664.jpg,0.0,0.198964,0.0,30.011540000000004
IMG\center_2019_02_03_01_03_19_781.jpg,IMG\left_2019_02_03_01_03_19_781.jpg,IMG\right_2019_02_03_01_03_19_781.jpg,0.0,0.0,0.0,29.74231
IMG\center_2019_02_03_01_03_19_896.jpg,IMG\left_2019_02_03_01_03_19_896.jpg,IMG\right_2019_02_03_01_03_19_896.jpg,0.0,0.0,0.0,29.38393
IMG\center_2019_02_03_01_03_20_014.jpg,IMG\left_2019_02_03_01_03_20_014.jpg,IMG\right_2019_02_03_01_03_20_014.jpg,0.0,0.0,0.0,29.03022
IMG\center_2019_02_03_01_03_20_131.jpg,IMG\left_2019_02_03_01_03_20_131.jpg,IMG\right_2019_02_03_01_03_20_131.jpg,-0.1130969,0.2665656,0.0,28.82473
IMG\center_2019_02_03_01_03_20_245.jpg,IMG\left_2019_02_03_01_03_20_245.jpg,IMG\right_2019_02_03_01_03_20_245.jpg,-0.2276388,0.3811075,0.0,28.92114
IMG\center_2019_02_03_01_03_20_356.jpg,IMG\left_2019_02_03_01_03_20_356.jpg,IMG\right_2019_02_03_01_03_20_356.jpg,0.0,0.04481375,0.0,28.8851
IMG\center_2019_02_03_01_03_20_476.jpg,IMG\left_2019_02_03_01_03_20_476.jpg,IMG\right_2019_02_03_01_03_20_476.jpg,0.0,0.0,0.0,28.54819
IMG\center_2019_02_03_01_03_20_589.jpg,IMG\left_2019_02_03_01_03_20_589.jpg,IMG\right_2019_02_03_01_03_20_589.jpg,0.0,0.0,0.0,28.2045
IMG\center_2019_02_03_01_03_20_702.jpg,IMG\left_2019_02_03_01_03_20_702.jpg,IMG\right_2019_02_03_01_03_20_702.jpg,0.0,0.0,0.0,27.921290000000006
IMG\center_2019_02_03_01_03_20_818.jpg,IMG\left_2019_02_03_01_03_20_818.jpg,IMG\right_2019_02_03_01_03_20_818.jpg,0.0,0.113392,0.0,27.62501
IMG\center_2019_02_03_01_03_20_931.jpg,IMG\left_2019_02_03_01_03_20_931.jpg,IMG\right_2019_02_03_01_03_20_931.jpg,-0.22053320000000004,0.4525177,0.0,27.684890000000006
IMG\center_2019_02_03_01_03_21_053.jpg,IMG\left_2019_02_03_01_03_21_053.jpg,IMG\right_2019_02_03_01_03_21_053.jpg,-0.2878453,0.8205935,0.0,28.16226
IMG\center_2019_02_03_01_03_21_168.jpg,IMG\left_2019_02_03_01_03_21_168.jpg,IMG\right_2019_02_03_01_03_21_168.jpg,0.0,1.0,0.0,29.18796
IMG\center_2019_02_03_01_03_21_280.jpg,IMG\left_2019_02_03_01_03_21_280.jpg,IMG\right_2019_02_03_01_03_21_280.jpg,0.0,1.0,0.0,30.09798
IMG\center_2019_02_03_01_03_21_398.jpg,IMG\left_2019_02_03_01_03_21_398.jpg,IMG\right_2019_02_03_01_03_21_398.jpg,0.0,1.0,0.0,30.1903
IMG\center_2019_02_03_01_03_21_513.jpg,IMG\left_2019_02_03_01_03_21_513.jpg,IMG\right_2019_02_03_01_03_21_513.jpg,0.0,0.6527056999999999,0.0,30.08987
IMG\center_2019_02_03_01_03_21_628.jpg,IMG\left_2019_02_03_01_03_21_628.jpg,IMG\right_2019_02_03_01_03_21_628.jpg,0.0,0.3113036,0.0,30.0072
IMG\center_2019_02_03_01_03_21_738.jpg,IMG\left_2019_02_03_01_03_21_738.jpg,IMG\right_2019_02_03_01_03_21_738.jpg,0.0,0.0,0.0,29.85102
IMG\center_2019_02_03_01_03_21_851.jpg,IMG\left_2019_02_03_01_03_21_851.jpg,IMG\right_2019_02_03_01_03_21_851.jpg,0.0,0.0,0.0,29.49447
